GeneSetName	Spearman.rho.estimate	p.value	method	alternative	q.value	n
GO_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_PLASMINOGEN_ACTIVATION	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_POSITIVE_REGULATION_OF_RENAL_SODIUM_EXCRETION	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_PRESYNAPTIC_CYTOSOL	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_PYRIMIDINE_NUCLEOTIDE_BINDING	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_TETRASPANIN_ENRICHED_MICRODOMAIN	0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_TRANSCRIPTION_REGULATOR_RECRUITING_ACTIVITY	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_TUBULAR_ENDOSOME	-0.7999999999999998	0.13333333333333333	Spearman's rank correlation rho	two.sided	0.4338337166974527	5
GO_POTASSIUM_CHANNEL_ACTIVITY	-0.33032185206098247	0.13339734314723622	Spearman's rank correlation rho	two.sided	0.4338337166974527	22
GO_CELLULAR_GLUCOSE_HOMEOSTASIS	0.19242004532863263	0.13404919667735019	Spearman's rank correlation rho	two.sided	0.4357314706538353	62
GO_PROTEIN_STABILIZATION	0.15141620284477428	0.13447896930232497	Spearman's rank correlation rho	two.sided	0.4369057772985455	99
GO_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS	0.30119658119658116	0.13478796372767082	Spearman's rank correlation rho	two.sided	0.4376866942578879	26
GO_CLATHRIN_DEPENDENT_ENDOCYTOSIS	0.2842364532019704	0.13494505969425868	Spearman's rank correlation rho	two.sided	0.4377484130455092	29
GO_FLEMMING_BODY	0.4395604395604396	0.13502815402863247	Spearman's rank correlation rho	two.sided	0.4377484130455092	13
GO_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.11533240515140966	0.13529041874500403	Spearman's rank correlation rho	two.sided	0.4377484130455092	169
GO_CEREBRAL_CORTEX_DEVELOPMENT	0.2258234519104084	0.13557028201150034	Spearman's rank correlation rho	two.sided	0.4377484130455092	45
GO_RESPONSE_TO_ALKALOID	0.2206290471785384	0.13591650911965872	Spearman's rank correlation rho	two.sided	0.4377484130455092	47
GO_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION	-0.3774509803921569	0.13599851884954695	Spearman's rank correlation rho	two.sided	0.4377484130455092	17
GO_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS	-0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_DEPYRIMIDINATION	-0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_GLUCURONOSYLTRANSFERASE_ACTIVITY	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_HISTAMINE_TRANSPORT	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_HYDROLASE_ACTIVITY_ACTING_ON_ETHER_BONDS	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_MITOCHONDRION_DISTRIBUTION	-0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_NEGATIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	-0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_POSITIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_RETROGRADE_AXONAL_TRANSPORT	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	0.7142857142857143	0.1361111111111111	Spearman's rank correlation rho	two.sided	0.4377484130455092	6
GO_CHROMOSOME_SEPARATION	0.22790697674418603	0.13653185085350455	Spearman's rank correlation rho	two.sided	0.4388802373205493	44
GO_CARDIAC_VENTRICLE_DEVELOPMENT	0.21786799826313502	0.13661828470163537	Spearman's rank correlation rho	two.sided	0.4389368397143449	48
GO_MALE_SEX_DIFFERENTIATION	0.19757909472167962	0.1371044784378518	Spearman's rank correlation rho	two.sided	0.43970276261751	58
GO_RESPONSE_TO_METAL_ION	0.11444360989490784	0.1371660914675735	Spearman's rank correlation rho	two.sided	0.43970276261751	170
GO_POST_EMBRYONIC_DEVELOPMENT	0.2390243902439024	0.13718765985210835	Spearman's rank correlation rho	two.sided	0.43970276261751	40
GO_GLUTATHIONE_TRANSFERASE_ACTIVITY	-0.4818181818181818	0.1372192129310307	Spearman's rank correlation rho	two.sided	0.43970276261751	11
GO_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	0.4818181818181818	0.1372192129310307	Spearman's rank correlation rho	two.sided	0.43970276261751	11
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.3443609022556391	0.13733929480148546	Spearman's rank correlation rho	two.sided	0.43970276261751	20
GO_TELOMERE_CAPPING	0.3443609022556391	0.13733929480148546	Spearman's rank correlation rho	two.sided	0.43970276261751	20
GO_MUSCLE_ADAPTATION	0.2127731092436975	0.13768684608730913	Spearman's rank correlation rho	two.sided	0.44033819674550595	50
GO_ZINC_ION_HOMEOSTASIS	0.36429308565531476	0.1377349483457559	Spearman's rank correlation rho	two.sided	0.44033819674550595	18
GO_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.25958747135217725	0.1379574235798088	Spearman's rank correlation rho	two.sided	0.44033819674550595	34
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE	0.28735632183908044	0.13800276543936446	Spearman's rank correlation rho	two.sided	0.44033819674550595	28
GO_GLYCOSAMINOGLYCAN_BINDING	0.17043482832956516	0.13814946266031988	Spearman's rank correlation rho	two.sided	0.44033819674550595	77
GO_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	0.38823529411764707	0.13819997046085708	Spearman's rank correlation rho	two.sided	0.44033819674550595	16
GO_CILIARY_PLASM	0.27697441601779754	0.13821528751982232	Spearman's rank correlation rho	two.sided	0.44033819674550595	30
GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	-0.1762171200720304	0.13847630893645826	Spearman's rank correlation rho	two.sided	0.44033819674550595	72
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	-0.2868089764641489	0.13878007301193726	Spearman's rank correlation rho	two.sided	0.44033819674550595	28
GO_ACYL_COA_LIGASE_ACTIVITY	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_ANIMAL_ORGAN_MATURATION	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_CYCLOSPORIN_A_BINDING	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_GLUCOSE_BINDING	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY	-0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_PLATELET_DENSE_GRANULE_LUMEN	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_POSITIVE_REGULATION_OF_MEMBRANE_POTENTIAL	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.6428571428571427	0.1388888888888889	Spearman's rank correlation rho	two.sided	0.44033819674550595	7
GO_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.2630347593582888	0.13892448755863818	Spearman's rank correlation rho	two.sided	0.44033819674550595	33
GO_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING	0.1193483935419419	0.13898771632896162	Spearman's rank correlation rho	two.sided	0.44033819674550595	155
GO_IRON_ION_BINDING	-0.21377551020408161	0.139973192452551	Spearman's rank correlation rho	two.sided	0.44324017429502616	49
GO_MICROTUBULE_BASED_TRANSPORT	0.1556935817805383	0.140378792250641	Spearman's rank correlation rho	two.sided	0.444303941979155	91
GO_MITOTIC_SPINDLE_ORGANIZATION	0.2155883630047764	0.1408479957427004	Spearman's rank correlation rho	two.sided	0.44556786246911945	48
GO_INTERLEUKIN_2_PRODUCTION	0.24993564993564998	0.14125488071791095	Spearman's rank correlation rho	two.sided	0.44621014112139445	36
GO_CHROMOSOMAL_REGION	0.11427746915806941	0.14130882043263032	Spearman's rank correlation rho	two.sided	0.44621014112139445	167
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.08612475800549779	0.14131954203465397	Spearman's rank correlation rho	two.sided	0.44621014112139445	293
GO_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	0.29641025641025637	0.14133088892896298	Spearman's rank correlation rho	two.sided	0.44621014112139445	26
GO_CELL_CELL_RECOGNITION	0.32354601919819304	0.1419175398752774	Spearman's rank correlation rho	two.sided	0.44780509565970317	22
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	0.19505367744316962	0.1420411222516339	Spearman's rank correlation rho	two.sided	0.44780509565970317	58
GO_ANION_HOMEOSTASIS	0.308695652173913	0.14211693221534272	Spearman's rank correlation rho	two.sided	0.44780509565970317	24
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	0.308695652173913	0.14211693221534272	Spearman's rank correlation rho	two.sided	0.44780509565970317	24
GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	0.2957264957264957	0.14228422057432893	Spearman's rank correlation rho	two.sided	0.4481108163474877	26
GO_INTERACTION_WITH_SYMBIONT	0.24561403508771928	0.14255897209353718	Spearman's rank correlation rho	two.sided	0.44853312482583463	37
GO_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.24561403508771928	0.14255897209353718	Spearman's rank correlation rho	two.sided	0.44853312482583463	37
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_SECRETION	-0.5030303030303029	0.14336680194001958	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_PROTEIN_LOCALIZATION_TO_NUCLEOLUS	-0.5030303030303029	0.14336680194001958	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_CULLIN_FAMILY_PROTEIN_BINDING	0.5030303030303029	0.14336680194001963	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_LAMELLIPODIUM_MORPHOGENESIS	0.5030303030303029	0.14336680194001963	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_LRR_DOMAIN_BINDING	0.5030303030303029	0.14336680194001963	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_RESPONSE_TO_AUDITORY_STIMULUS	0.5030303030303029	0.14336680194001963	Spearman's rank correlation rho	two.sided	0.4497435402843956	10
GO_REGULATION_OF_TISSUE_REMODELING	0.27341490545050057	0.14351250501467155	Spearman's rank correlation rho	two.sided	0.4499792751751354	30
GO_BILE_ACID_METABOLIC_PROCESS	0.3142292490118577	0.1441746865790139	Spearman's rank correlation rho	two.sided	0.4518333858556478	23
GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.3069565217391304	0.14446633614737384	Spearman's rank correlation rho	two.sided	0.452483492739568	24
GO_OOCYTE_DIFFERENTIATION	0.39642857142857135	0.14459497633845694	Spearman's rank correlation rho	two.sided	0.452483492739568	15
GO_RESPONSE_TO_NICOTINE	0.39642857142857135	0.14459497633845694	Spearman's rank correlation rho	two.sided	0.452483492739568	15
GO_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	0.38235294117647056	0.14466954521804953	Spearman's rank correlation rho	two.sided	0.45249481353088766	16
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	0.29367521367521365	0.14517239406687182	Spearman's rank correlation rho	two.sided	0.45384503299349627	26
GO_CYTOPLASMIC_TRANSLATION	0.2006098723079855	0.14551649768253933	Spearman's rank correlation rho	two.sided	0.45443986273922377	54
GO_NADPH_BINDING	-0.4727272727272727	0.1456062260317749	Spearman's rank correlation rho	two.sided	0.45443986273922377	11
GO_POSITIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY	0.4727272727272727	0.14560622603177495	Spearman's rank correlation rho	two.sided	0.45443986273922377	11
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	0.17690902447935697	0.14565008091967635	Spearman's rank correlation rho	two.sided	0.45443986273922377	69
GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	0.25469824293353704	0.14573484810455545	Spearman's rank correlation rho	two.sided	0.45443986273922377	34
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	0.41098901098901103	0.14579020079220278	Spearman's rank correlation rho	two.sided	0.45443986273922377	14
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	0.4285714285714286	0.14593021609445556	Spearman's rank correlation rho	two.sided	0.45465408570236515	13
GO_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	0.16472736124634862	0.14662621406896373	Spearman's rank correlation rho	two.sided	0.4552142812154886	79
GO_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.19283890614906643	0.14669173045295972	Spearman's rank correlation rho	two.sided	0.4552142812154886	58
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	0.31225296442687744	0.1468186020255773	Spearman's rank correlation rho	two.sided	0.4552142812154886	23
GO_NEPHRON_EPITHELIUM_DEVELOPMENT	0.27119021134593996	0.14689818187621403	Spearman's rank correlation rho	two.sided	0.4552142812154886	30
GO_POSITIVE_REGULATION_OF_WOUND_HEALING	0.36764705882352944	0.14710261992344648	Spearman's rank correlation rho	two.sided	0.4552142812154886	17
GO_REGULATION_OF_MEMBRANE_REPOLARIZATION	0.36764705882352944	0.14710261992344648	Spearman's rank correlation rho	two.sided	0.4552142812154886	17
GO_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	0.4475524475524476	0.1472053777671552	Spearman's rank correlation rho	two.sided	0.4552142812154886	12
GO_REGULATION_OF_PRODUCTION_OF_SMALL_RNA_INVOLVED_IN_GENE_SILENCING_BY_RNA	0.4475524475524476	0.1472053777671552	Spearman's rank correlation rho	two.sided	0.4552142812154886	12
GO_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	0.2758620689655172	0.14721137885267763	Spearman's rank correlation rho	two.sided	0.4552142812154886	29
GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	0.24985994397759106	0.1474149824626963	Spearman's rank correlation rho	two.sided	0.4552142812154886	35
GO_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_DESMOSOME	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_HISTONE_KINASE_ACTIVITY	-0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_NEGATIVE_REGULATION_OF_POSTTRANSCRIPTIONAL_GENE_SILENCING	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_NEUROTRANSMITTER_REUPTAKE	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_POSITIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_THYMIC_T_CELL_SELECTION	0.5333333333333333	0.14752535273368605	Spearman's rank correlation rho	two.sided	0.4552142812154886	9
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	0.16876244665718348	0.14754627748645743	Spearman's rank correlation rho	two.sided	0.4552142812154886	75
GO_MANGANESE_ION_BINDING	0.26173020527859236	0.1475853105352262	Spearman's rank correlation rho	two.sided	0.4552142812154886	32
GO_EXIT_FROM_MITOSIS	0.32727272727272727	0.1476089522844761	Spearman's rank correlation rho	two.sided	0.4552142812154886	21
GO_BETA_CATENIN_TCF_COMPLEX_ASSEMBLY	0.3190287972896668	0.14781205219723914	Spearman's rank correlation rho	two.sided	0.455620305913163	22
GO_PROTEIN_TARGETING_TO_MEMBRANE	0.16111056692896247	0.14795158034433178	Spearman's rank correlation rho	two.sided	0.455706028507932	82
GO_IMMUNOLOGICAL_SYNAPSE	0.37941176470588234	0.14798277175238614	Spearman's rank correlation rho	two.sided	0.455706028507932	16
GO_PROTEIN_DEPHOSPHORYLATION	0.1198497910826678	0.14806106140193456	Spearman's rank correlation rho	two.sided	0.4557270661264609	147
GO_NEURON_CELLULAR_HOMEOSTASIS	0.3928571428571428	0.148499766564763	Spearman's rank correlation rho	two.sided	0.4567812281799518	15
GO_REGULATION_OF_B_CELL_ACTIVATION	0.18551534839213316	0.14857343384142624	Spearman's rank correlation rho	two.sided	0.4567812281799518	62
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS	0.15526115345309802	0.14861841787009425	Spearman's rank correlation rho	two.sided	0.4567812281799518	88
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0.18394777265745008	0.14869844674234434	Spearman's rank correlation rho	two.sided	0.4568070503002088	63
GO_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.3034782608695652	0.14924947192518592	Spearman's rank correlation rho	two.sided	0.458279068757108	24
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	0.14742005049442455	0.14938394444064235	Spearman's rank correlation rho	two.sided	0.4584712370979982	97
GO_T_CELL_SELECTION	0.3102766798418973	0.14949736063262906	Spearman's rank correlation rho	two.sided	0.4585986281209891	23
GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	0.16788051209103838	0.14969728678468458	Spearman's rank correlation rho	two.sided	0.4587714426391887	75
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.2180500658761528	0.1498302773898394	Spearman's rank correlation rho	two.sided	0.4587714426391887	45
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.3539731682146543	0.14988443790295444	Spearman's rank correlation rho	two.sided	0.4587714426391887	18
GO_CLATHRIN_ADAPTOR_COMPLEX	0.3651960784313726	0.1499756044360346	Spearman's rank correlation rho	two.sided	0.4587714426391887	17
GO_ENDOTHELIAL_CELL_DEVELOPMENT	0.3651960784313726	0.1499756044360346	Spearman's rank correlation rho	two.sided	0.4587714426391887	17
GO_AZUROPHIL_GRANULE_MEMBRANE	0.2791461412151067	0.15000292969858076	Spearman's rank correlation rho	two.sided	0.4587714426391887	28
GO_FILOPODIUM_ASSEMBLY	0.29025641025641025	0.15008057626779772	Spearman's rank correlation rho	two.sided	0.4587714426391887	26
GO_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	0.2204369274136716	0.1501291791805273	Spearman's rank correlation rho	two.sided	0.4587714426391887	44
GO_REGULATION_OF_BONE_REMODELING	0.33383458646616543	0.15038255747772486	Spearman's rank correlation rho	two.sided	0.45932563839248103	20
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.2556818181818182	0.15062306454188468	Spearman's rank correlation rho	two.sided	0.45984000872973146	33
GO_CARGO_ADAPTOR_ACTIVITY	0.5714285714285715	0.151140873015873	Spearman's rank correlation rho	two.sided	0.460538999749963	8
GO_DNA_LIGATION	0.5714285714285715	0.151140873015873	Spearman's rank correlation rho	two.sided	0.460538999749963	8
GO_RNA_POLYMERASE_III_TRANSCRIPTION_FACTOR_COMPLEX	0.5714285714285715	0.151140873015873	Spearman's rank correlation rho	two.sided	0.460538999749963	8
GO_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	-0.5714285714285715	0.151140873015873	Spearman's rank correlation rho	two.sided	0.460538999749963	8
GO_DOUBLE_STRAND_BREAK_REPAIR	0.13634810537465408	0.1515302002854251	Spearman's rank correlation rho	two.sided	0.4615048136139454	112
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	0.26807563959955505	0.1517359826525486	Spearman's rank correlation rho	two.sided	0.46159606433175576	30
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	0.2510313216195569	0.15177680905682336	Spearman's rank correlation rho	two.sided	0.46159606433175576	34
GO_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	0.23689681584418426	0.15177729639057438	Spearman's rank correlation rho	two.sided	0.46159606433175576	38
GO_ENDOSOME_ORGANIZATION	0.2098349978289188	0.15195857068905277	Spearman's rank correlation rho	two.sided	0.4619270888409438	48
GO_REGULATION_OF_CELL_DIVISION	0.1752872466312936	0.15250444922540296	Spearman's rank correlation rho	two.sided	0.4633656020915229	68
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.13780928551570754	0.15280480063740046	Spearman's rank correlation rho	two.sided	0.464057097259851	109
GO_DEACETYLASE_ACTIVITY	0.2625	0.15333492092977574	Spearman's rank correlation rho	two.sided	0.46544539347688624	31
GO_ACETYLTRANSFERASE_ACTIVITY	0.18778492109877268	0.15405606978117228	Spearman's rank correlation rho	two.sided	0.46741195665587476	59
GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY	0.4636363636363636	0.15432716053779083	Spearman's rank correlation rho	two.sided	0.46779090358355535	11
GO_BETA_CATENIN_DESTRUCTION_COMPLEX	0.49090909090909085	0.1544426727331808	Spearman's rank correlation rho	two.sided	0.46779090358355535	10
GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.49090909090909085	0.1544426727331808	Spearman's rank correlation rho	two.sided	0.46779090358355535	10
GO_HEART_PROCESS	0.1372439996293207	0.15450813676946049	Spearman's rank correlation rho	two.sided	0.46779090358355535	109
GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	-0.4378290427114664	0.15458641247553	Spearman's rank correlation rho	two.sided	0.46779090358355535	12
GO_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.2616935483870968	0.15463705506691594	Spearman's rank correlation rho	two.sided	0.46779090358355535	31
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.3735294117647059	0.15476776554371224	Spearman's rank correlation rho	two.sided	0.46779090358355535	16
GO_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.3735294117647059	0.15476776554371224	Spearman's rank correlation rho	two.sided	0.46779090358355535	16
GO_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	0.30632411067193677	0.1549602032229133	Spearman's rank correlation rho	two.sided	0.46803839237405964	23
GO_VESICLE_DOCKING	-0.24537815126050425	0.15499642367411282	Spearman's rank correlation rho	two.sided	0.46803839237405964	35
GO_ORGANELLE_ENVELOPE_LUMEN	-0.2018099547511312	0.1552137830617413	Spearman's rank correlation rho	two.sided	0.4684729316402234	51
GO_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	-0.27044334975369455	0.15557143427781692	Spearman's rank correlation rho	two.sided	0.4693302943447747	29
GO_HISTONE_DEACETYLASE_BINDING	0.1793956043956044	0.15575892534721053	Spearman's rank correlation rho	two.sided	0.46967374727304445	64
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.3602941176470589	0.15583943817849683	Spearman's rank correlation rho	two.sided	0.4696944470246497	17
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.20999074930619796	0.1561951650656235	Spearman's rank correlation rho	two.sided	0.4705442206393792	47
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION	0.3385964912280702	0.15629623867863202	Spearman's rank correlation rho	two.sided	0.47062640079383206	19
GO_RESPONSE_TO_HYDROGEN_PEROXIDE	0.16393711551606288	0.15676698589585342	Spearman's rank correlation rho	two.sided	0.4718211088777415	76
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.2030732292917167	0.15687491213960458	Spearman's rank correlation rho	two.sided	0.4719232238109007	50
GO_POSITIVE_REGULATION_OF_ANION_TRANSPORT	0.31225296442687744	0.15698100521821157	Spearman's rank correlation rho	two.sided	0.4720197303857344	22
GO_CYTOSKELETAL_PROTEIN_BINDING	0.07020105228023203	0.15746714349825383	Spearman's rank correlation rho	two.sided	0.47325834977190046	407
